UBl,ULf,URb,LUb,LBd,LFu,LDf,FUl,FLd,FRu,FDr,RUf,RFd,RBu,RDb,BUr,BLu,BRd,BDl,DBr,DLb,DRf,DFl
"[D' r' D r, U2]","[U': [R U' R' U, r]]","[r, R U' R' U]","[3Lw': [r, U' L U]]","[r: [r, U' L U]]","[r: [r, U' L' U]]","[U': [D, r U r']]","[Lw' D': [r' D r, U2]]","[r, U L' U']","[r, U' R U]",,"[Rw: [r, U R' U']]","[r: [r, U R U']]","[r: [r, U R' U']]","[Rw: [r, U R U']]","[D: [r, U R2 U']]","[r, U L U']","[r, U' R' U]","[U': [D2, r U r']]","[U' Rw: [U' R' U, r]]","[Lw': [r, U L' U']]","[r, U' R2 U]","[Lw U': [D2, r U r']]"
"[x' U': [U' r2 U, R]]","[U': [R' U' R U, r']]","[Fw': [R' u' R, U2]]","[Rw' U: [r2, U R U']]","[x' U: [r2, U R U']]","[r' U': [U' L' U, r2]]","[D Rw: [U R' U', r]]","[Rw' U': [U' r2 U, R]]","[z D': [U' R U, l']]","[F: [U' r2 U, R]]","[Rw: [U R' U', r]]",,"[3Lw: [R, U' r2 U]]","[3Lw: [R', U' r2 U]]","[3Lw: [R2, U' r2 U]]","[r, R U R' U']","[z D: [U R U', r']]","[Rw D: [U R' U', r']]","[x U: [R', U l' U']]","[Rw: [U R' U', r2]]","[Rw D': [U R' U', r']]","[z' U': [U' L' U, r]]","[Rw U: [R', U l' U']]"
"[R': [r' D' r, U2]]","[R': [r' D' r, U']]","[R' D': [r, U' R U]]","[r' U: [r2, U R U']]","[3Lw U: [r2, U R U']]","[R' y': [U' l U, R]]","[y': [R', U r U']]","[Rw2 U': [U' r' U, R']]","[z: [U' R U, l']]","[Dw 3Lw R: [U r U', R2]]","[r: [U R U', r]]","[3Lw: [U' r2 U, R]]",,"[x': [U' r2 U, R2]]","[D' r' D, R']","[r, U R U']","[x': [D', r U' r']]","[z': [U' L' U, r]]","[x': [D', r U2 r']]","[r: [U R U', r2]]","[Rw: [U', r D' r']]","[y': [R', U r2 U']]","[Rw D': [U', r D' r']]"
"[U': [L' u' L, U2]]","[U, L' u' L]","[R D': [r, U' R' U]]","[r' U: [r2, U R' U']]","[Rw' U': [U' L U, r2]]","[z r: [U R U', r2]]","[y U: [U R U', l]]","[r' U': [U' r2 U, R']]","[L': [U, L' u' L]]","[R U' R', u']","[r: [U R' U', r]]","[3Lw: [U' r2 U, R']]","[x': [R2, U' r2 U]]",,"[D' r' D, R]","[r, U R' U']","[z: [U R U', r']]","[u x': [U r U', R2]]","[U'u: [R, U' l U]]","[r: [U R' U', r2]]","[z U: [U R U', r']]","[R D': [U' R U, r]]","[U'u: [U' l2 U, R]]"
"[r' D' r, U2]","[r' D' r, U']","[U', R' u R]","[Rw' U: [r2, U R' U']]","[x' U: [r2, U R' U']]","[y': [U' l U, R]]","[U D: [r U' r', D2]]","[Rw' U': [U' r2 U, R']]","[D': [r, U L' U']]","[D': [r, U' R U]]","[Rw: [U R U', r]]","[3Lw: [U' r2 U, R2]]","[R', D' r' D]","[R, D' r' D]",,"[R: [r, U R U']]","[D': [r, U L U']]","[D': [r, U' R' U]]","[U: [D, l U l']]","[Rw: [U R U', r2]]","[Rw D': [U R U', r']]","[y' r: [r U r', D2]]","[y': [U' l U, R2]]"
"[Rw' D': [U2, r' D r]]","[r', Lw U L' U']","[r', R' U' R U]","[Lw' U' L U, r]","[U' L U, r]","[U' L' U, r]","[Lw': [U' L' U, r]]","[Rw D': [r D r', U2]]","[r', U L' U']","[r', U' R U]","[D R: [U R U', r]]","[R U R' U', r]","[U R U', r]","[U R' U', r]","[R: [U R U', r]]",,"[r', U L U']","[r', U' R' U]","[D' R: [U R U', r]]","[D' R': [r', U' R' U]]","[Lw: [r', U L U']]","[R': [r', U' R' U]]","[D: [r', U' R2 U]]"
"[Rw' U': [U' r U, L]]","[u: [U, L' u' L]]","[z': [L', U' l2 U]]","[3Lw' D': [r', U' L U]]","[z Rw': [U2, r' D' r]]","[z: [r, U R U']]","[D: [U L U', r]]","[Lw2 U: [L', U l U']]","[3Rw' L': [U' r U, L2]]","[z: [r2, U R U']]","[U L U', r]","[z D: [r', U R U']]","[x': [r U' r', D']]","[z: [r', U R U']]","[D': [U L U', r]]","[U L U', r']",,"[Rw' U: [r, U L U']]","[U: [L, U l U']]","[U L U', r2]","[D' r2 D, L']","[D: [U L U', r2]]","[U: [L, U l2 U']]"
"[Lw' U': [R', U' l U]]","[r' U': [r, U' R' U]]","[r': [U r U', R']]","[Rw: [r D r', U]]","[z': [r', U' L' U]]","[R': [R' u' R, U']]","[D: [U' R' U, r]]","[Rw: [r D r', U2]]","[z': [r2, U' L' U]]","[Rw': [R2, U r U']]","[U' R' U, r]","[Rw D: [r', U R' U']]","[z': [r, U' L' U]]","[u x': [R2, U r U']]","[D': [U' R' U, r]]","[U' R' U, r']","[Rw' U: [U L U', r]]",,"[U': [R', U' l U]]","[U' R' U, r2]","[D': [U' R' U, r2]]","[D r2 D', R]","[U': [R', U' l2 U]]"
"[D': [r' D' r, U2]]","[D': [r' D' r, U']]","[D: [r' D r, U]]","[x U': [L, U' l' U]]","[3Rw U': [U' l' U, L]]","[Uw: [U l U', L]]","[U': [D', l U' l']]","[D' Rw' U': [U' r2 U, R']]","[U: [U l U', L']]","[U': [U' l U, R]]","[U': [r U r', D2]]","[x U: [U l' U', R']]","[x': [r U2 r', D']]","[U'u: [U' l U, R]]","[U: [l U l', D]]","[D' R: [r, U R U']]","[U: [U l U', L]]","[U': [U' l U, R']]",,"[U Rw: [r U' r', D2]]","[U: [U l U', L2]]","[U': [U' l U, R2]]","[Lw: [U2, r' D2 r]]"
"[U R' U': [r2, U' R U]]","[U': [R U' R' U, r2]]","[r2, R U' R' U]","[3Lw: [U' L' U, r2]]","[r': [U' L U, r2]]","[r': [U' L' U, r2]]","[3Lw: [U' L U, r2]]","[D Rw: [r D' r', U2]]","[r2, U L' U']","[r2, U' R U]","[U' Rw: [r, U' R' U]]","[Rw': [U R U', r2]]","[r': [U R U', r2]]","[r': [U R' U', r2]]","[Rw': [U R' U', r2]]","[D' R': [U' R' U, r']]","[r2, U L U']","[r2, U' R' U]","[U Rw: [D2, r U' r']]",,"[D': [U' R2 U, r2]]","[r2, U' R2 U]","[x U' R' U: [r2, U R U']]"
"[Lw' U: [L', U l U']]","[D' U': [R U' R' U, r2]]","[D': [r2, R U' R' U]]","[z y': [U R' U', l']]","[Rw D': [r', U' L U]]","[y': [U' l2 U, R]]","[y Rw: [D2, r U' r']]","[Rw: [r D' r', U2]]","[L, D' r2 D]","[D': [r2, U' R U]]","[Lw': [U L' U', r]]","[Rw D': [r', U R' U']]","[Rw: [r D' r', U']]","[z U: [r', U R U']]","[Rw D': [r', U R U']]","[Lw: [U L U', r']]","[L', D' r2 D]","[D': [r2, U' R' U]]","[U: [L2, U l U']]","[D': [r2, U' R2 U]]",,"[R D': [r2, U' R U]]","[Lw U: [L, U l U']]"
"[Rw' U: [U r U', R']]","[Rw' U': [r, U' R' U]]","[3Lw: [U r U', R2]]","[r: [r D r', U]]","[D r': [U' L U, r2]]","[R: [u', R U' R']]","[R D: [U' R U, r]]","[r: [r D r', U2]]","[D: [r2, U L' U']]","[D r2 D', R']","[U' R2 U, r]","[z' U': [r, U' L' U]]","[y': [U r2 U', R']]","[R D': [r, U' R U]]","[y' r: [D2, r U r']]","[R': [U' R' U, r']]","[D: [r2, U L U']]","[R, D r2 D']","[U': [R2, U' l U]]","[U' R2 U, r2]","[R D': [U' R U, r2]]",,"[D: [r2, U' R2 U]]"
"[U' R' U: [U R U', l2]]","[Lw U: [U l U', L']]","[3Lw: [D2, r U r']]","[Rw: [r D2 r', U]]","[Rw U': [U' l' U, L]]","[Uw': [U' l2 U, R]]","[D: [U' R2 U, r]]","[Rw D': [r D' r', U2]]","[U: [U l2 U', L']]","[U': [R, U' l2 U]]","[Lw U': [r U r', D2]]","[Rw U: [U l' U', R']]","[Rw D': [r D' r', U']]","[U'u: [R, U' l2 U]]","[y': [R2, U' l U]]","[D: [U' R2 U, r']]","[U: [U l2 U', L]]","[U': [U' l2 U, R']]","[Lw: [r' D2 r, U2]]","[x U' R' U: [U R U', r2]]","[Lw U: [U l U', L]]","[D: [U' R2 U, r2]]",
